Date,AAVE-USD,ADA-USD,BCH-USD,BTC-USD,DOGE-USD,DOT-USD,EOS-USD,ETC-USD,ETH-USD,FIL-USD,ICP-USD,KSM-USD,LINK-USD,LTC-USD,MIOTA-USD,NEO-USD,SOL-USD,THETA-USD,TRX-USD,UNI-USD,VET-USD,XLM-USD,XMR-USD,XRP-USD,XTZ-USD
2018-01-01,,0.7286570072174072,2432.5400390625,13657.2001953125,0.00890900008380413,,8.843179702758789,34.16790008544922,772.6409912109375,19.480199813842773,,,0.7335630059242249,229.0330047607422,3.974400043487549,78.82369995117188,,,0.051695000380277634,,,0.48000800609588623,358.989990234375,2.3910300731658936,4.52692985534668
2018-01-02,,0.7825869917869568,2711.0,14982.099609375,0.009145000018179417,,9.334710121154785,34.91709899902344,884.4439697265625,20.110599517822266,,,0.6737120151519775,255.6840057373047,3.996150016784668,90.32579803466797,,,0.07868199795484543,,,0.564765989780426,383.4169921875,2.4809000492095947,5.541679859161377
2018-01-03,,1.0796600580215454,2608.68994140625,15201.0,0.009320000186562538,,10.227899551391602,34.863399505615234,962.719970703125,19.827499389648438,,,0.6811670064926147,245.3679962158203,4.126840114593506,105.55899810791016,,,0.09470299631357193,,,0.8962270021438599,412.06298828125,3.105370044708252,7.087800025939941
2018-01-04,,1.1141200065612793,2430.179931640625,15599.2001953125,0.009643999859690666,,11.275500297546387,36.31800079345703,980.9219970703125,20.417800903320312,,,0.9843680262565613,241.3699951171875,4.082310199737549,99.10900115966797,,,0.20797400176525116,,,0.724049985408783,403.0480041503906,3.1966300010681152,6.151750087738037
2018-01-05,,0.9995589852333069,2584.47998046875,17429.5,0.012167000211775303,,10.839599609375,36.199501037597656,997.719970703125,24.118099212646484,,,0.9074860215187073,249.27099609375,3.7544500827789307,95.28179931640625,,,0.22055499255657196,,,0.6627119779586792,384.9360046386719,3.0487101078033447,5.48390007019043
2018-01-06,,1.02715003490448,2786.64990234375,17527.0,0.014863000251352787,,12.579700469970703,38.424800872802734,1041.6800537109375,24.46969985961914,,,1.0635700225830078,296.4540100097656,3.942229986190796,100.86199951171875,,,0.17479699850082397,,,0.709945023059845,452.77099609375,3.0939700603485107,5.44890022277832
2018-01-07,,1.0085200071334839,2786.8798828125,16477.599609375,0.01708799973130226,,12.521900177001953,40.79309844970703,1153.1700439453125,26.018400192260742,,,1.2704600095748901,288.45098876953125,4.070559978485107,102.42900085449219,,,0.19965499639511108,,,0.6996449828147888,459.33099365234375,3.377810001373291,5.439260005950928
2018-01-08,,0.8990020155906677,2421.469970703125,15170.099609375,0.015045000240206718,,9.692649841308594,34.18629837036133,1148.530029296875,26.08209991455078,,,1.3773000240325928,255.76300048828125,3.8458499908447266,102.37699890136719,,,0.1519930064678192,,,0.6293230056762695,405.0740051269531,2.456209897994995,4.735949993133545
2018-01-09,,0.8147429823875427,2391.56005859375,14595.400390625,0.013419999741017818,,9.326939582824707,38.32160186767578,1299.739990234375,27.320999145507812,,,1.228279948234558,247.03700256347656,3.537169933319092,126.93900299072266,,,0.1247820034623146,,,0.5856530070304871,413.3340148925781,2.1017799377441406,4.970749855041504
2018-01-10,,0.7931209802627563,2895.3798828125,14973.2998046875,0.013101999647915363,,11.338299751281738,36.95220184326172,1255.8199462890625,24.943199157714844,,,1.1887099742889404,250.51800537109375,3.7838900089263916,122.98799896240234,,,0.12955300509929657,,,0.5669299960136414,407.7409973144531,1.9749200344085693,4.947179794311523
2018-01-11,,0.6884120106697083,2462.610107421875,13405.7998046875,0.011469000019133091,,11.354900360107422,32.79389953613281,1154.9300537109375,25.71649932861328,,,1.0103299617767334,229.36599731445312,3.3673300743103027,108.29499816894531,,,0.1090800017118454,,,0.5581259727478027,355.5920104980469,1.9507999420166016,5.271480083465576
2018-01-12,,0.8975080251693726,2620.989990234375,13980.599609375,0.013055999763309956,,13.745800018310547,36.403900146484375,1273.199951171875,27.663299560546875,,,1.0515600442886353,236.8560028076172,3.6910300254821777,124.46900177001953,,,0.10885799676179886,,,0.6779599785804749,394.7829895019531,2.0432300567626953,5.747039794921875
2018-01-13,,0.8841239809989929,2685.2900390625,14360.2001953125,0.013023000210523605,,16.23390007019043,42.39390182495117,1396.4200439453125,26.860300064086914,,,1.1012300252914429,259.1929931640625,3.9369800090789795,140.6219940185547,,,0.10303500294685364,,,0.671563982963562,420.0539855957031,2.0213499069213867,6.0728302001953125
2018-01-14,,0.802262008190155,2553.320068359375,13772.0,0.011683999560773373,,13.435700416564941,42.957298278808594,1366.77001953125,26.50119972229004,,,1.0108400583267212,238.6750030517578,3.735529899597168,170.41799926757812,,,0.08478199690580368,,,0.6308559775352478,399.5190124511719,1.8611899614334106,5.551229953765869
2018-01-15,,0.7785869836807251,2401.5400390625,13819.7998046875,0.009856999851763248,,12.944499969482422,40.495601654052734,1291.9200439453125,26.666500091552734,,,0.8776879906654358,232.7740020751953,3.4822700023651123,187.40499877929688,,,0.0756940022110939,,,0.5992709994316101,414.57000732421875,1.6767300367355347,5.228869915008545
2018-01-16,,0.626492977142334,1772.0699462890625,11490.5,0.006821999792009592,,10.275899887084961,28.457300186157227,1053.68994140625,24.036300659179688,,,0.7564529776573181,188.33099365234375,2.6008501052856445,145.2989959716797,,,0.05448799952864647,,,0.441197007894516,320.0369873046875,1.1792399883270264,4.839389801025391
